index,question,value,response,correct
0,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in million mt CO2e?,4.13, 184793.92,False
1,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,1065890.2, 47792.20,False
2,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,20.67, 1678618.97,False
3,What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,606619.71, 834658.67,False
4,What is the average energy consumption from 2023 to 2022 among the following companies?,379059.3, 696688.32,False
5,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in MtCO2eq?,13.92, 20105.63,False
6,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in million mt CO2e?,3.66, 157696.48,False
7,What is the total amount of waste generated from 2022 to 2023 among the following companies?,2025651.6, 4171.81,False
8,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,0.28, 0.26,False
9,What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,14837.29, 37301.80,False
10,What is the average of total water consumption in the years 2023 and 2022 among the following companies in millions of m3?,12.52, 62.69,False
11,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in MtCO2eq?,1.26, 17432.84,False
12,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in Million metric tons of CO2 equivalents?,1.28, 11.27,False
13,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,16966056.2, 776045.20,False
14,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tCO2e?,276785.4, 31791.00,False
15,What is the total amount of waste generated from 2022 to 2023 among the following companies?,280642.6, 2575794.00,False
16,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,1285991.0, 44353.25,False
17,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,351.04, 351.04 twh,False
