index,question,value,response
0,What were the direct GHG emissions (Scope 1) in 2021 in mmtonnes CO2 equivalent?,6.72, 5.69
1,What was the percentage of the 100 biggest suppliers committed to a 1.5°C trajectory in 2023?,44, 44%
2,What was the share of renewable electricity in 2023 (%)?,63%,Table too long
3,What was the district cooling consumption in megawatt-hour for the year 2023?,4283, 0.1
4,What percentage of total suppliers will be active in 2026?,100, 100
5,How much were the GHG emissions for leased assets in 2022 in kilotonnes of CO2?,233, 233
6,What are the expected Scope 1 and Scope 3 GHG emissions related to integrated power for the year 2026 in grams of CO2 equivalent per kilowatt-hour?,135, Intensity of Scope 1 and Scope 3 GHG emissions related to Integrated Power.1
7,What was the Scope 3 emissions figure for Europe in 2021 in Mt CO2e?,220, 400
8,What percentage of renewable energy was reported in 2023?,84, 84%
9,What was the percentage of electric and electronic waste recycled (WEEE) in 2019?,99, From which Weight of waste in tons
10,What was the number of contracted suppliers in 2022?,2354, 2354.0
11,What was the total CO2 equivalents location based in million metric tons for the year 2023?,70.69, 70.69
12,What is the expected reduction of GHG emissions (Scope 1 and 2) in 2035 compared to 2018 in %?,-71, -29%
13,What is the total weight of hazardous waste disposed of in other structures in 2022 in kilotons with reference to the entire group?,97.4, 97.4
14,What is the target reduction for methane emissions in kt CH4 on operated activities by 2030 in percentage?,-80, 34%
15,What was the total weight of packaging reduction since 2017 in 2023 (in tonnes)?,20738, 20738
16,What percentage of sites met the target for offshore discharges quality in 2021?,92, 100
17,How many tonnes of carbon credits were obtained during the year 2023 (tCO2eq)?,673, 673
18,What was the VOC emissions per million euros of turnover in 2022?,9, 8.5
19,What was the long distance heating consumption in 2023 (%)?,16.8, 16.8
20,How much were the Scope 3(a) indirect GHG emissions in 2019 in Mt CO2e?,410, 400
21,What was the total amount of terna’s waste sent for disposal in tonnes for the year 2023?,1063.4,Table too long
22,How much were the leakages of refrigerant gases recorded in 2022 in tonnes of CO2 equivalent?,219.2, 219.2
23,What was the ratio of VOC emissions per million euros of turnover in 2021?,11.8, 11.8
24,What was the total amount of waste generated in 2023 in kilotonnes?,476.5, 476.5
25,What is the total indirect (Scope 3) emissions for the year 2023 in tonnes of CO2 equivalent?,133875567, nan
26,How many disputes with suppliers were pending in 2023?,36, 36
27,What was the offshore continuous water discharges in mg/l for the year 2020?,12.8, 13.0
28,How many meal equivalents of unsold products were donated to food aid associations in 2023 (in millions of meals)?,48.7, 48.7
29,What was the total installed capacity for RWE Group in 2022 in MW?,39265, 2023
30,What was the other biogenic fuels consumption in Mwh for the year 2019?,1501, 1501
31,What is the value of biogenic CO2 emissions from equity interest domains recorded in 2021 in Mt CO2e?,-, 0.1
32,What was the total weight of waste generated in tons in 2023?,931.3, 931.3
33,What was the total energy consumption in megawatt-hours (MWh) associated with motorcycle production in 2019?,120583, 120583
34,What percentage of recycled and/or sustainably managed paper was used in marketing and distribution in 2022?,72%,Table too long
35,What were the CO emissions from Wines & Spirits in 2023 pro forma in tonnes of CO2 equivalent?,28164, 28164
36,What was the number of on-site qualification checks conducted in 2021?,10, 13
37,What was the global energy efficiency indicator (GEEI) for the year 2022?,85.1, 85.1
38,What are the highest and lowest electricity consumption rates in kilowatt-hours per 100 kilometers for the BMW i4 eDrive35?,18.7 - 15.8, 406
39,What was the installed capacity for renewable Onshore Wind/Solar in 2023 in megawatts?,12574, 12574
40,What is the total power generation gross capacity from renewables in construction for Africa in gigawatts?,0, 0.0
41,What was the percentage change for financed GHG emissions from listed equities and corporate bonds from companies in the oil & gas segment in 2023?,-55.1, -55.1
42,How many tonnes of copper were produced in 2022?,10226, 10226
43,What is the intensity of scope 1 GHG emissions related to power generation for the year 2030 in grams of CO2 equivalent per kilowatt-hour?,72, Unnamed: 4
44,What was the percentage difference of total fossil energy consumption related to own operations between 2023 and 2019?,54%,Table too long
45,What was the percentage change for financed GHG emissions from listed equities and corporate bonds from companies in the thermal coal segment in 2023?,64.3, -47.5
46,What were the specific net CO2 emissions in kg CO2/t cementitious material for the year 2021?,565, 565
47,What was the specific SO emissions in grams per tonne of clinker for the year 2023?,326, 326
48,What is the electricity power consumption for the MINI Cooper SE Cabrio in kilowatt-hours per 100 kilometers?,17.2, -
49,What was the water intensity in 2022 in m3/€m insurance revenue?,9, 7
50,What are the 2023 emissions for listed corporates in mn t CO2e?,14, 14.0
51,What is the amount of Scope 3 emissions from Europe (EU 27 + Norway + UK + Switzerland) in 2023 in Mt CO2e?,216, 440
52,What was the percentage of biomass used in clinker production in 2021?,11.2, 11.2
53,How much methane was emitted from upstream oil & gas activities in 2021 in kt CH4 from operated domain?,48, 33
54,What was the amount of GHG emissions from equity interest domains and from upstream oil & gas activities in 2015 in Mt CO2e?,22, 42
55,What was the percentage of petroleum coke used in clinker production in 2021?,18.9, 18.9
56,What was the percentage of re-used water in 2021  for the entire group?,11, 11
57,What was the methane emissions in kilotonnes of CH4 for Africa in 2021 from operated domains?,23, 49
58,How many tonnes of gross indirect GHG emissions from energy consumption (Scope 2) did Fresenius Vamed produce in 2022?,7, 27
59,What was the weight of collected electric and electronic waste in 2023 in tons?,57.3, From which Weight of waste
60,What is the total weight of non-hazardous waste destined for disposal in 2023 (million of tonnes)?,0.9,Table too long
61,What was the contribution of Franchises in 2022 in Mt CO2e?,<1, 1
62,What was the total surface water withdrawal in 2021 in million m3?,28.6, 28.6
63,What was the methane emission amount for the Americas in 2021 in kt CH4?,18, 18
64,What was the energy intensity for the entire group in 2022 in TJ/€mln?,1.7, -
65,What percentage of water was re-used in 2023 for the entire group?,5, 5
66,"In 2022, what was the total installed capacity for Hydro/Biomass/Gas in Türkiye in MW?",787, 1268
67,What was the total amount of surface water withdrawn in 2020 in m3?,17461, 17461
68,How much total water withdrawal was recorded in 2023 in million m³ for areas with water scarcity?,14.8, 58.2
69,What was the emission intensity for market-based Scope 1 and 2 in 2023 in kilotonnes of CO2 equivalent per million euros for the entire group?,87.7, 87.7
70,"What was the total installed capacity of Hydro/Biomass/Gas energy sources in the United Kingdom in 2023, in megawatts (MW)?",7335, 1268
71,"How much Hydro/Biomass/Gas energy capacity (in total) was operational in the United Kingdom in 2022, in megawatts (MW)?",7315, 1268
72,What is the energy consumption per revenue in MWh/EUR m for the year 2022?,7.99, 8.59
73,What is the amount of emissions from employee commuting in metric tons for 2023?,3185, 3185
74,How many Mt CO2e were reported for the breakdown by segment - Refining & Chemicals in 2023?,14, 15
75,What is the target percentage reduction in waste volume for disposal for cars by 2030?,-82, -43%
76,What were the Scope 1 emissions from distribution centers in tons of CO2 in 2022?,5128, 21856.0
77,"What were the total location-based Scope 1, 2 and 3 emissions in 2022 in kilotonnes of CO2 equivalent for the entire group?",4385.6, 4385.6
78,What was the total GHG emissions from equity interest domains and from upstream oil & gas activities in 2023 in Mt CO2e?,19, 42
79,What percentage of the total waste generated in 2021 was hazardous?,7, 7
80,What was the percentage of alternative energy sources in 2022?,23.7, 23.7%
81,"What was the CO2 emissions intensity for commercial real estate, residential in 2021?",36.6, 57%
82,What was the total emissions from electricity/heat purchased in 2021 in tonnes of CO2 equivalent?,134849, 134849.0
83,What were the petroleum products GHG emissions in 2021 in Mt CO2e?,285, 285
84,What was the total water withdrawal from surface water bodies in 2023 in million m3?,97,Table too long
85,What percentage of the total waste generated in 2023 was non-hazardous?,94, 94.0
86,What was the specific energy consumption for cement in 2023 in MJ/t?,2981, 2981.0
87,What was the total gross indirect GHG emissions from energy consumption (Scope 2) for Fresenius Helios in 2020 in tonnes of CO2 equivalent?,128, 253
88,What is the change of total energy consumption from renewable sources for air transport in million kWH between 2022 and 2023?,156.9, 972
89,What was the total gross direct GHG emissions (Scope 1) for Fresenius Kabi in 2022 in tonnes of CO2 equivalent?,169, 425
90,What was the amount of electricity generated on site from renewable sources in megawatt-hour for the year 2023?,3158, 3158
91,What was the total GHG emissions from operated domains and from Refining & Chemicals in 2023 in Mt CO2e?,14, 22
92,"What was the GHG emissions per product, measured in kilograms of CO2 equivalent, for the year 2022?",6.5, 6.5
93,What was the amount of Upstream transportation emissions in 2022 in Mt CO2e?,9, 9
94,How many TCO2e were related to fuel- and energy-related activities in 2023?,40652, 40652
95,What was the value for the breakdown by geography - Europe in 2022 measured in Mt CO2e?,23, 23
96,How much seawater was withdrawn in 2022 (million m3)?,1283,Table too long
97,What is the count of suppliers with whom Eni has terminated relations in 2021?,34, 34
98,What was the total seawater discharge in 2021 in million m3?,3.9, 3.5
99,How much renewable fuel and heat was consumed in 2022 in MWh?,0, 0
