index,question,value,response,correct
0,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,0.12,"0.1#18310 |

### solution
the sum of ghg emissions scope 2 in 2022 among the following companies in million mt co2e is 0.1 + 18310 |

| company name: otc_rwnef |

| scope 2 | 0.1 |

| company name: munich-re |

| scope 2 | 18310 |

| the sum of ghg emissions scope 2 in 2022 among the following companies in million mt co2e is 0.1 + 18310 |

| ",False
1,What is the total amount of waste generated from 2022 to 2023 among the following companies?,22824.6,"10007#9214#1770#7444#84 |

",False
2,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in TCO2eq?,28632509.0,735018,False
3,What is the total energy consumption generated by the following companies in the last 2 years in MWh?,2890217.0,250916#313698,False
4,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,64465.0,"22042#45848#42423 |

### input

| company name: vivendi |

| tco,eq                              |   2023 |   2022 | (2023 vs 2022)   |
|:------------------------------------|-------:|-------:|:-----------------|
| scope 1                             |  10291 |  11228 | -8%              |
| scope 2 market-based                |  14221 |  19496 | -27%             |
| scope 2 location-based              |  22042 |  22603 | -2%              |
| total scopes 1 and 2 market-based   |  24512 |  30724 | -20%             |
| total scopes 1 and 2 location-based |  32333 |  33831 | -4%              |
| partial scope 3 (a)                 | 735018 | 770748 | -5%              |
| partial scope 3 restated (a) (b)    | 735018 | 727100 | 1.00%            |

| company name: axa |

| tco,eq                              |   2023 |   2022 | (2023 vs 2022)   |
|:------------------------------------|-------:|-------:|:-----------------|
| scope 1                             |  21382 |  33617 | -36%              |
| scope 2 market-based                |  37172 |  59232 | -35%             |
| scope 2 location-based              |  45848 |  42423 | -7%              |
| total scopes 1 and 2 market-based   |  185354 |  243909 | -20%             |
| total scopes 1 and 2 location-based |  174336 |  238357 | -7%              |
| partial scope 3 (a)                 | 735018 | 770748 | -5%              |
| partial scope 3 restated (a) (b)    | 735018 | 727100 | 1.00%            |

| company name: axa |

| tco,eq                              |   2023 |   2022 | (2023 vs 2022)   |
|:------------------------------------|-------:|-------:|:-----------------|
| scope 1                             |  21382 |  33617 | -36%              |
| scope 2 market-based                |  37172 |  59232 | -35%             |
| scope 2 location-based              |  45848 |  42423 | -7%              |
| total scopes 1 and 2 market-based   |  185354 |  243909 | -20%             |
| total scopes 1 and 2 location-based |  174336 |  238357 | -7%              |
| partial scope 3 (a)                 | 735018 | 770748 | -5%              |
| partial scope 3 restated (a) (b)    | 735018 | 727100 | 1.00%            |

| company name: vivendi |

| tco,eq                              |   2023 |   2022 | (2023 vs 2022)   |
|:------------------------------------|-------:|-------:|:-----------------|
| scope 1                             |  10291 |  11228 | -8%              |
| scope 2 market-based                |  14221 |  19496 | -27%             |
| scope 2 location-based              |  22042 |  22603 | -2%              |
| total scopes 1 and 2 market-based   |  24512 |  30724 | -20%             |
| total scopes 1 and 2 location-based |  32333 |  33831 | -4%              |
| partial scope 3 (a)                 | 735018 | 770748 | -5%              |
| partial scope 3 restated (a) (b)    | 735018 | 727100 | 1.00%            |

| company name: vivendi |

| tco,eq                              |   2023 |   2022 | (2023 vs 2022)   |
|:------------------------------------|-------:|-------:|:-----------------|
| scope 1                             |  10291 |  11228 | -8%              |
| scope 2 market-based                |  14221 |  19496 | -27%",False
5,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,2.27,"30712#42423#37172 |

### solution
",False
6,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2e?,134270.0,112228#22042#32333 |,False
7,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,121146.5,"0.1 |

the average amount of ghg emissions scope 2 in 2022 among the following companies in tons co2e is 0.1",False
8,What is the total amount of waste generated from 2022 to 2023 among the following companies?,256799.0,"124139#131402#136816#125292 |

",False
9,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,1568090.0,3039435,False
10,What is the average energy consumption from 2023 to 2022 among the following companies?,722554.25,"1124327#1201276 |

",False
11,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,1262293.0,"142293#142457#142945 |

the corresponding scale is: none |

",False
12,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tons CO2e?,86584.5,"30712#42423#37172 |

### solution
",False
13,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,86391.5,"30490#142293 |

| ",False
14,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,0.1,0.2,False
15,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2-eq?,1609479.0,3039435,False
16,What is the average energy consumption from 2023 to 2022 among the following companies?,169227.34,8.59,False
